Name,Symbol,Price,Day,Screen,Probability Up,Rating,Test Acc,Baseline,Model,Risk,Reward Risk,To Support,To Resistance,Buy Score
Hero MotoCorp Limited,HEROMOTOCO.NS,5221.5,-0.01107954545454548,SELL,0.4384066208500479,Sell,0.5620915032679739,0.5326797385620915,Global,5.0,2.3743458991442177,0.026785516168416068,0.03268883075191242,48.17710056787375
Narayana Hrudayalaya Ltd.,NH.NS,1869.199951171875,-0.021207520047925588,SELL,0.43551336984055883,Sell,0.5909090909090909,0.5714285714285714,Global,4.8,2.703887638910927,0.021674797487169606,0.014229701248581028,48.176847717419
GIC Housing Finance Limited,GICHSGFIN.NS,136.83999633789062,0.005289459642451977,HOLD,0.4519609992505882,Neutral,0.5928338762214984,0.5863192182410424,Global,5.4,3.3354274249879885,0.0038881871380640476,0.14167759076731445,48.068433755621946
Agro Phos India Limited,AGROPHOS.NS,23.5,0.005562651095346149,SELL,0.4473533202258823,Sell,0.6548387096774193,0.6096774193548387,Global,10.0,3.9490106269116683,,0.4425532564203789,48.05798859193928
Landsmill Green Limited,LANDSMILL.NS,0.5600000023841858,-0.017543843138140613,HOLD,0.47352720435509527,Neutral,0.6540880503144654,0.6194968553459119,Global,9.0,6.416668477572274,,0.5892856819745231,48.05749229322646
Mtar Technologies Limited,MTARTECH.NS,7312.5,0.0010266940451746365,SELL,0.4333581474563731,Sell,0.5622489959839357,0.5020080321285141,Global,8.2,2.0,0.183252427184466,0.010324786324786395,48.030575521140086
Niva Bupa Health Insurance Company Limited,NIVABUPA.NS,79.93000030517578,0.006421583328994451,SELL,0.4442200090509419,Sell,0.6410256410256411,0.6153846153846154,Global,4.1,2.0000000000000053,0.09723620349124906,0.007193804087877842,47.970837424732736
Tembo Global Industries Limited,TEMBO.NS,56.08000183105469,-0.018207232497855386,SELL,0.44769152918715666,Sell,0.652317880794702,0.6225165562913908,Global,7.5,2.7086624573640563,0.020564168378999437,0.06784943591730541,47.87790303427835
BSE Limited,BSE.NS,3384.0,0.023593466424682408,HOLD,0.45333193467561306,Neutral,0.5751633986928104,0.542483660130719,Global,6.5,4.8141099037664,0.26762132304870256,0.2437386791388354,47.874558349509094
Vineet Laboratories Limited,VINEETLAB.NS,37.02000045776367,0.03436712799028441,HOLD,0.4626777054979157,Neutral,0.569620253164557,0.5316455696202531,Global,8.1,2.8322310465935203,0.057412231722222096,0.08589952095770137,47.84835839469955
